dimension, 678, 591
Result (x y micro-second), 64, 7, 1143
Result (x y micro-second), 47, 7, 1164
Result (x y micro-second), 11, 47, 1250
Result (x y micro-second), 5, 11, 1295
Result (x y micro-second), 47, 5, 1140
Result (x y micro-second), 13, 64, 1251
Result (x y micro-second), 47, 7, 1164
Result (x y micro-second), 29, 47, 1014
Result (x y micro-second), 29, 29, 1196
Result (x y micro-second), 32, 16, 1141
Result (x y micro-second), 29, 5, 1147
Result (x y micro-second), 29, 23, 1161
Result (x y micro-second), 11, 13, 1194
Result (x y micro-second), 32, 23, 1186
Result (x y micro-second), 5, 16, 1283
Result (x y micro-second), 29, 5, 1165
Result (x y micro-second), 29, 11, 1154
Result (x y micro-second), 5, 64, 1293
Result (x y micro-second), 64, 1, 1174
Result (x y micro-second), 5, 23, 1264
Result (x y micro-second), 7, 16, 1231
Result (x y micro-second), 23, 1, 1363
Result (x y micro-second), 29, 1, 1287
Result (x y micro-second), 47, 5, 1132
Result (x y micro-second), 29, 23, 1161
Result (x y micro-second), 23, 11, 1159
Result (x y micro-second), 23, 1, 1381
Result (x y micro-second), 32, 47, 1014
Result (x y micro-second), 13, 16, 1178
Result (x y micro-second), 11, 11, 1187
Result (x y micro-second), 64, 32, 1012
Result (x y micro-second), 7, 16, 1226
Result (x y micro-second), 47, 11, 1184
Result (x y micro-second), 7, 32, 1254
Result (x y micro-second), 7, 11, 1230
Result (x y micro-second), 5, 13, 1283
Result (x y micro-second), 32, 29, 1163
Result (x y micro-second), 7, 7, 1263
Result (x y micro-second), 32, 64, 1010
Result (x y micro-second), 5, 7, 1426
Result (x y micro-second), 11, 16, 1180
Result (x y micro-second), 23, 47, 1014
Result (x y micro-second), 16, 11, 1147
Result (x y micro-second), 23, 29, 1183
Result (x y micro-second), 23, 29, 1170
Result (x y micro-second), 47, 11, 1180
Result (x y micro-second), 13, 1, 1607
Result (x y micro-second), 32, 7, 1135
Result (x y micro-second), 7, 47, 1264
Result (x y micro-second), 32, 13, 1144
Result (x y micro-second), 5, 47, 1276
Result (x y micro-second), 23, 32, 1226
Result (x y micro-second), 13, 32, 1240
Result (x y micro-second), 32, 5, 1130
Result (x y micro-second), 16, 32, 1177
Result (x y micro-second), 5, 47, 1283
Result (x y micro-second), 7, 29, 1235
Result (x y micro-second), 29, 23, 1172
Result (x y micro-second), 32, 1, 1277
Result (x y micro-second), 1, 5, 2867
Result (x y micro-second), 29, 47, 1008
Result (x y micro-second), 16, 1, 1498
Result (x y micro-second), 32, 1, 1266
Result (x y micro-second), 1, 32, 2034
Result (x y micro-second), 29, 23, 1167
Result (x y micro-second), 64, 29, 1013
Result (x y micro-second), 16, 16, 1139
Result (x y micro-second), 13, 47, 1213
Result (x y micro-second), 1, 64, 1929
Result (x y micro-second), 32, 23, 1164
Result (x y micro-second), 29, 47, 1021
Result (x y micro-second), 13, 64, 1246
Result (x y micro-second), 13, 47, 1201
Result (x y micro-second), 11, 64, 1282
Result (x y micro-second), 64, 11, 1189
Result (x y micro-second), 5, 13, 1285
Result (x y micro-second), 7, 13, 1199
Result (x y micro-second), 11, 64, 1268
Result (x y micro-second), 7, 11, 1240
Result (x y micro-second), 29, 64, 1009
Result (x y micro-second), 64, 23, 1018
Result (x y micro-second), 23, 7, 1161
Result (x y micro-second), 47, 32, 1010
Result (x y micro-second), 47, 29, 1010
Result (x y micro-second), 29, 13, 1169
Result (x y micro-second), 7, 7, 1264
Result (x y micro-second), 1, 13, 2163
Result (x y micro-second), 64, 13, 1166
Result (x y micro-second), 5, 7, 1426
Result (x y micro-second), 7, 47, 1252
Result (x y micro-second), 16, 11, 1151
Result (x y micro-second), 7, 29, 1245
Result (x y micro-second), 16, 16, 1146
Result (x y micro-second), 13, 29, 1193
Result (x y micro-second), 29, 47, 1015
Result (x y micro-second), 13, 13, 1203
Result (x y micro-second), 7, 32, 1233
Result (x y micro-second), 23, 47, 1020
Result (x y micro-second), 16, 13, 1147
Result (x y micro-second), 23, 1, 1360
Result (x y micro-second), 23, 23, 1202
Result (x y micro-second), 1, 23, 2066
Result (x y micro-second), 1, 64, 1942
Result (x y micro-second), 1, 5, 2865
Result (x y micro-second), 5, 1, 2439
Result (x y micro-second), 32, 13, 1180
Result (x y micro-second), 11, 64, 1279
Result (x y micro-second), 64, 23, 1009
Result (x y micro-second), 11, 11, 1197
Result (x y micro-second), 1, 64, 1954
Result (x y micro-second), 1, 16, 2122
Result (x y micro-second), 5, 1, 2442
Result (x y micro-second), 7, 29, 1217
Result (x y micro-second), 64, 23, 1002
Result (x y micro-second), 47, 16, 1172
Result (x y micro-second), 23, 13, 1161
Result (x y micro-second), 1, 23, 2068
Result (x y micro-second), 64, 47, 1017
Result (x y micro-second), 11, 32, 1211
Result (x y micro-second), 32, 13, 1145
Result (x y micro-second), 32, 16, 1141
Result (x y micro-second), 23, 47, 1012
Result (x y micro-second), 11, 16, 1195
Result (x y micro-second), 13, 23, 1194
Result (x y micro-second), 47, 11, 1168
Result (x y micro-second), 11, 29, 1186
Result (x y micro-second), 32, 13, 1156
Result (x y micro-second), 29, 32, 1204
Result (x y micro-second), 1, 23, 2059
Result (x y micro-second), 11, 29, 1196
Result (x y micro-second), 47, 29, 1016
Result (x y micro-second), 47, 32, 1016
Result (x y micro-second), 1, 23, 2066
Result (x y micro-second), 23, 11, 1177
Result (x y micro-second), 7, 7, 1251
Result (x y micro-second), 16, 32, 1163
Result (x y micro-second), 29, 5, 1151
Result (x y micro-second), 29, 64, 1070
Result (x y micro-second), 23, 47, 1017
Result (x y micro-second), 11, 7, 1195
Result (x y micro-second), 5, 23, 1270
Result (x y micro-second), 47, 29, 1018
Result (x y micro-second), 64, 13, 1160
Result (x y micro-second), 16, 32, 1164
Result (x y micro-second), 64, 23, 1015
Result (x y micro-second), 13, 29, 1187
Result (x y micro-second), 11, 1, 1711
Result (x y micro-second), 13, 5, 1188
Result (x y micro-second), 29, 32, 1196
Result (x y micro-second), 16, 47, 1223
Result (x y micro-second), 64, 32, 1021
Result (x y micro-second), 23, 16, 1166
Result (x y micro-second), 29, 1, 1309
Result (x y micro-second), 13, 11, 1178
Result (x y micro-second), 32, 23, 1182
Result (x y micro-second), 11, 29, 1188
Result (x y micro-second), 5, 7, 1437
Result (x y micro-second), 7, 64, 1268
Result (x y micro-second), 13, 29, 1188
Result (x y micro-second), 29, 11, 1155
Result (x y micro-second), 1, 64, 1932
Result (x y micro-second), 32, 5, 1122
Result (x y micro-second), 64, 64, 1020
Result (x y micro-second), 11, 13, 1195
Result (x y micro-second), 32, 23, 1181
Result (x y micro-second), 1, 16, 2116
Result (x y micro-second), 11, 29, 1203
Result (x y micro-second), 64, 1, 1209
Result (x y micro-second), 16, 7, 1146
Result (x y micro-second), 5, 1, 2452
Result (x y micro-second), 32, 13, 1156
Result (x y micro-second), 32, 47, 1013
Result (x y micro-second), 13, 64, 1239
Result (x y micro-second), 32, 32, 1155
Result (x y micro-second), 13, 11, 1180
Result (x y micro-second), 64, 13, 1169
Result (x y micro-second), 7, 29, 1235
Result (x y micro-second), 13, 64, 1238
Result (x y micro-second), 29, 29, 1194
Result (x y micro-second), 13, 7, 1182
Result (x y micro-second), 7, 13, 1223
Result (x y micro-second), 29, 11, 1225
Result (x y micro-second), 47, 29, 1024
Result (x y micro-second), 5, 7, 1441
Result (x y micro-second), 29, 7, 1156
Result (x y micro-second), 7, 13, 1218
Result (x y micro-second), 16, 32, 1171
Result (x y micro-second), 1, 47, 2243
Result (x y micro-second), 16, 29, 1162
Result (x y micro-second), 29, 47, 1017
Result (x y micro-second), 64, 13, 1185
Result (x y micro-second), 5, 64, 1271
Result (x y micro-second), 1, 16, 2122
Result (x y micro-second), 29, 16, 1174
Result (x y micro-second), 64, 1, 1173
Result (x y micro-second), 16, 5, 1158
Result (x y micro-second), 11, 7, 1191
Result (x y micro-second), 7, 64, 1255
Result (x y micro-second), 29, 13, 1163
Result (x y micro-second), 5, 11, 1303
Result (x y micro-second), 13, 7, 1176
Result (x y micro-second), 16, 47, 1217
Result (x y micro-second), 64, 11, 1192
Result (x y micro-second), 23, 16, 1166
Result (x y micro-second), 64, 7, 1147
Result (x y micro-second), 5, 29, 1282
Result (x y micro-second), 13, 7, 1184
Result (x y micro-second), 13, 7, 1179
Result (x y micro-second), 16, 5, 1166
Result (x y micro-second), 32, 13, 1171
Result (x y micro-second), 64, 1, 1175
Result (x y micro-second), 11, 7, 1196
Result (x y micro-second), 7, 23, 1243
Result (x y micro-second), 7, 29, 1236
Result (x y micro-second), 32, 5, 1119
Result (x y micro-second), 32, 5, 1134
Result (x y micro-second), 11, 1, 1689
Result (x y micro-second), 1, 11, 2201
Result (x y micro-second), 13, 23, 1182
Result (x y micro-second), 23, 5, 1145
Result (x y micro-second), 23, 29, 1165
Result (x y micro-second), 29, 32, 1185
Result (x y micro-second), 64, 1, 1210
Result (x y micro-second), 64, 7, 1148
Result (x y micro-second), 5, 29, 1276
Result (x y micro-second), 29, 5, 1145
Result (x y micro-second), 23, 64, 1017
Result (x y micro-second), 5, 23, 1266
Result (x y micro-second), 11, 5, 1218
Result (x y micro-second), 11, 1, 1683
Result (x y micro-second), 11, 47, 1258
Result (x y micro-second), 1, 13, 2166
Result (x y micro-second), 64, 1, 1167
Result (x y micro-second), 16, 11, 1148
Result (x y micro-second), 13, 1, 1584
Result (x y micro-second), 7, 32, 1231
Result (x y micro-second), 32, 47, 1011
Result (x y micro-second), 16, 16, 1145
Result (x y micro-second), 64, 7, 1154
Result (x y micro-second), 29, 47, 1014
Result (x y micro-second), 32, 5, 1127
Result (x y micro-second), 32, 11, 1156
Result (x y micro-second), 64, 64, 1017
Result (x y micro-second), 47, 7, 1152
Result (x y micro-second), 47, 5, 1139
Result (x y micro-second), 5, 64, 1272
Result (x y micro-second), 1, 5, 2873
Result (x y micro-second), 13, 32, 1221
Result (x y micro-second), 64, 29, 1023
Result (x y micro-second), 47, 5, 1141
Result (x y micro-second), 32, 1, 1278
Result (x y micro-second), 47, 11, 1175
Result (x y micro-second), 32, 5, 1132
Result (x y micro-second), 32, 29, 1150
Result (x y micro-second), 11, 7, 1195
Result (x y micro-second), 11, 1, 1663
Result (x y micro-second), 13, 5, 1184
Result (x y micro-second), 11, 11, 1188
Result (x y micro-second), 47, 1, 1203
Result (x y micro-second), 16, 29, 1174
Result (x y micro-second), 5, 23, 1268
Result (x y micro-second), 16, 64, 1196
Result (x y micro-second), 16, 29, 1170
Result (x y micro-second), 16, 13, 1154
Result (x y micro-second), 11, 11, 1190
Result (x y micro-second), 16, 47, 1200
Result (x y micro-second), 7, 5, 1357
Result (x y micro-second), 5, 64, 1273
Result (x y micro-second), 7, 29, 1233
Result (x y micro-second), 13, 13, 1188
Result (x y micro-second), 64, 29, 1017
Result (x y micro-second), 7, 11, 1231
Result (x y micro-second), 32, 13, 1161
Result (x y micro-second), 13, 13, 1188
Result (x y micro-second), 13, 29, 1189
Result (x y micro-second), 5, 11, 1306
Result (x y micro-second), 5, 13, 1298
Result (x y micro-second), 5, 23, 1247
Result (x y micro-second), 1, 23, 2075
Result (x y micro-second), 1, 5, 2868
Result (x y micro-second), 32, 16, 1146
Result (x y micro-second), 1, 64, 1937
Result (x y micro-second), 29, 5, 1146
Result (x y micro-second), 29, 29, 1199
Result (x y micro-second), 47, 1, 1204
Result (x y micro-second), 47, 32, 1013
Result (x y micro-second), 29, 5, 1140
Result (x y micro-second), 47, 11, 1181
Result (x y micro-second), 11, 7, 1191
Result (x y micro-second), 29, 29, 1213
Result (x y micro-second), 47, 23, 1014
Result (x y micro-second), 32, 64, 1011
Result (x y micro-second), 64, 47, 1008
Result (x y micro-second), 23, 32, 1232
Result (x y micro-second), 11, 13, 1187
Result (x y micro-second), 64, 1, 1170
Result (x y micro-second), 47, 64, 1012
Result (x y micro-second), 32, 16, 1142
Result (x y micro-second), 47, 13, 1164
Result (x y micro-second), 1, 16, 2113
Result (x y micro-second), 13, 47, 1182
Result (x y micro-second), 1, 47, 2240
Result (x y micro-second), 64, 47, 1009
Result (x y micro-second), 5, 7, 1421
Result (x y micro-second), 47, 29, 1011
Result (x y micro-second), 29, 23, 1167
Result (x y micro-second), 7, 11, 1229
Result (x y micro-second), 11, 7, 1207
Result (x y micro-second), 64, 29, 1011
Result (x y micro-second), 64, 7, 1148
Result (x y micro-second), 1, 29, 2044
Result (x y micro-second), 1, 64, 1942
Result (x y micro-second), 23, 23, 1198
Result (x y micro-second), 7, 16, 1235
Result (x y micro-second), 64, 7, 1148
Result (x y micro-second), 32, 5, 1132
Result (x y micro-second), 5, 47, 1266
Result (x y micro-second), 47, 47, 1013
Result (x y micro-second), 29, 32, 1190
Result (x y micro-second), 64, 13, 1161
Result (x y micro-second), 13, 23, 1189
Result (x y micro-second), 64, 29, 1012
Result (x y micro-second), 29, 7, 1148
Result (x y micro-second), 29, 29, 1210
Result (x y micro-second), 64, 23, 1002
Result (x y micro-second), 47, 64, 1015
Result (x y micro-second), 11, 32, 1214
Result (x y micro-second), 29, 29, 1218
Result (x y micro-second), 11, 64, 1278
Result (x y micro-second), 64, 5, 1135
Result (x y micro-second), 64, 32, 1009
Result (x y micro-second), 1, 1, 7967
Result (x y micro-second), 23, 29, 1161
Result (x y micro-second), 64, 1, 1187
Result (x y micro-second), 16, 47, 1231
Result (x y micro-second), 13, 47, 1202
Result (x y micro-second), 7, 5, 1370
Result (x y micro-second), 11, 64, 1260
Result (x y micro-second), 13, 64, 1223
Result (x y micro-second), 23, 5, 1145
Result (x y micro-second), 13, 7, 1186
Result (x y micro-second), 1, 16, 2114
Result (x y micro-second), 32, 23, 1179
Result (x y micro-second), 5, 64, 1276
Result (x y micro-second), 16, 64, 1177
Result (x y micro-second), 1, 13, 2175
Result (x y micro-second), 29, 47, 1009
Result (x y micro-second), 11, 1, 1685
Result (x y micro-second), 23, 1, 1364
Result (x y micro-second), 1, 47, 2239
Result (x y micro-second), 29, 11, 1158
Result (x y micro-second), 16, 47, 1217
Result (x y micro-second), 13, 47, 1208
Result (x y micro-second), 23, 23, 1195
Result (x y micro-second), 32, 64, 1014
Result (x y micro-second), 29, 5, 1153
Result (x y micro-second), 7, 23, 1245
Result (x y micro-second), 23, 32, 1236
Result (x y micro-second), 5, 23, 1266
Result (x y micro-second), 29, 13, 1157
Result (x y micro-second), 16, 16, 1158
Result (x y micro-second), 23, 64, 1015
Result (x y micro-second), 13, 47, 1193
Result (x y micro-second), 64, 32, 1015
Result (x y micro-second), 47, 32, 1020
Result (x y micro-second), 13, 11, 1181
Result (x y micro-second), 47, 47, 1008
Result (x y micro-second), 7, 11, 1229
Result (x y micro-second), 29, 32, 1193
Result (x y micro-second), 47, 11, 1173
Result (x y micro-second), 32, 13, 1145
Result (x y micro-second), 7, 32, 1229
Result (x y micro-second), 64, 47, 1012
Result (x y micro-second), 16, 1, 1493
Result (x y micro-second), 7, 7, 1276
Result (x y micro-second), 7, 16, 1233
Result (x y micro-second), 16, 32, 1162
Result (x y micro-second), 13, 47, 1203
Result (x y micro-second), 16, 5, 1169
Result (x y micro-second), 13, 5, 1192
Result (x y micro-second), 47, 23, 1016
Result (x y micro-second), 16, 32, 1164
Result (x y micro-second), 16, 29, 1169
Result (x y micro-second), 47, 64, 1017
Result (x y micro-second), 7, 16, 1228
Result (x y micro-second), 7, 32, 1234
Result (x y micro-second), 47, 16, 1191
Result (x y micro-second), 11, 23, 1188
Result (x y micro-second), 5, 29, 1265
Result (x y micro-second), 13, 11, 1195
Result (x y micro-second), 29, 23, 1176
Result (x y micro-second), 32, 5, 1130
Result (x y micro-second), 13, 64, 1229
Result (x y micro-second), 47, 47, 1016
Result (x y micro-second), 1, 7, 2584
Result (x y micro-second), 64, 29, 998
Result (x y micro-second), 47, 13, 1163
Result (x y micro-second), 7, 5, 1357
Result (x y micro-second), 47, 1, 1205
Result (x y micro-second), 1, 64, 1931
Result (x y micro-second), 23, 11, 1141
Result (x y micro-second), 29, 7, 1158
Result (x y micro-second), 32, 47, 1011
Result (x y micro-second), 47, 29, 1018
Result (x y micro-second), 16, 7, 1140
Result (x y micro-second), 32, 5, 1126
Result (x y micro-second), 47, 11, 1166
Result (x y micro-second), 7, 1, 2051
Result (x y micro-second), 7, 1, 2040
Result (x y micro-second), 29, 1, 1300
Result (x y micro-second), 5, 23, 1265
Result (x y micro-second), 29, 64, 1012
Result (x y micro-second), 47, 64, 1018
Result (x y micro-second), 1, 16, 2112
Result (x y micro-second), 32, 47, 1002
Result (x y micro-second), 13, 5, 1196
Result (x y micro-second), 5, 5, 1429
Result (x y micro-second), 13, 29, 1187
Result (x y micro-second), 32, 7, 1140
Result (x y micro-second), 5, 7, 1424
Result (x y micro-second), 13, 47, 1183
Result (x y micro-second), 11, 1, 1675
Result (x y micro-second), 5, 16, 1267
Result (x y micro-second), 1, 5, 2875
Result (x y micro-second), 23, 29, 1162
Result (x y micro-second), 5, 29, 1276
Result (x y micro-second), 5, 29, 1266
Result (x y micro-second), 13, 32, 1209
Result (x y micro-second), 13, 7, 1168
Result (x y micro-second), 7, 5, 1352
Result (x y micro-second), 1, 29, 2043
Result (x y micro-second), 5, 1, 2442
Result (x y micro-second), 23, 16, 1169
Result (x y micro-second), 16, 11, 1145
Result (x y micro-second), 16, 29, 1170
Result (x y micro-second), 16, 29, 1163
Result (x y micro-second), 11, 23, 1200
Result (x y micro-second), 32, 16, 1134
Result (x y micro-second), 1, 23, 2070
Result (x y micro-second), 23, 13, 1145
Result (x y micro-second), 5, 23, 1275
Result (x y micro-second), 47, 7, 1156
Result (x y micro-second), 7, 1, 2051
Result (x y micro-second), 64, 13, 1177
Result (x y micro-second), 1, 64, 1948
Result (x y micro-second), 16, 5, 1156
Result (x y micro-second), 23, 13, 1161
Result (x y micro-second), 64, 64, 1009
Result (x y micro-second), 47, 7, 1158
Result (x y micro-second), 7, 11, 1243
Result (x y micro-second), 47, 16, 1198
Result (x y micro-second), 1, 7, 2518
Result (x y micro-second), 1, 23, 2055
Result (x y micro-second), 16, 64, 1186
Result (x y micro-second), 64, 47, 1018
Result (x y micro-second), 5, 1, 2448
Result (x y micro-second), 13, 1, 1595
Result (x y micro-second), 7, 13, 1232
Result (x y micro-second), 1, 64, 1924
Result (x y micro-second), 32, 64, 994
Result (x y micro-second), 64, 5, 1139
Result (x y micro-second), 1, 11, 2205
Result (x y micro-second), 11, 32, 1207
Result (x y micro-second), 11, 7, 1198
Result (x y micro-second), 64, 11, 1191
Result (x y micro-second), 11, 29, 1190
Result (x y micro-second), 47, 5, 1142
Result (x y micro-second), 29, 29, 1201
Result (x y micro-second), 29, 5, 1151
Result (x y micro-second), 23, 29, 1170
Result (x y micro-second), 32, 32, 1142
Result (x y micro-second), 16, 1, 1477
Result (x y micro-second), 23, 32, 1223
Result (x y micro-second), 13, 13, 1184
Result (x y micro-second), 16, 1, 1476
Result (x y micro-second), 11, 13, 1188
Result (x y micro-second), 64, 5, 1139
Result (x y micro-second), 23, 7, 1151
Result (x y micro-second), 29, 47, 1022
Result (x y micro-second), 7, 29, 1229
Result (x y micro-second), 5, 23, 1270
Result (x y micro-second), 5, 32, 1273
Result (x y micro-second), 16, 32, 1163
Result (x y micro-second), 16, 7, 1139
Result (x y micro-second), 29, 1, 1306
Result (x y micro-second), 29, 7, 1147
Result (x y micro-second), 23, 64, 1020
Result (x y micro-second), 7, 64, 1266
Result (x y micro-second), 29, 16, 1174
Result (x y micro-second), 13, 1, 1586
Result (x y micro-second), 11, 16, 1195
Result (x y micro-second), 13, 1, 1605
Result (x y micro-second), 29, 64, 1004
Result (x y micro-second), 1, 11, 2213
Result (x y micro-second), 23, 11, 1148
Result (x y micro-second), 32, 32, 1141
Result (x y micro-second), 29, 29, 1208
Result (x y micro-second), 16, 5, 1164
Result (x y micro-second), 7, 32, 1226
Result (x y micro-second), 5, 47, 1251
Result (x y micro-second), 29, 23, 1169
Result (x y micro-second), 64, 7, 1144
Result (x y micro-second), 23, 5, 1144
Result (x y micro-second), 1, 1, 7971
Result (x y micro-second), 23, 13, 1141
Result (x y micro-second), 1, 29, 2050
Result (x y micro-second), 47, 11, 1169
Result (x y micro-second), 29, 11, 1153
Result (x y micro-second), 1, 32, 2132
Result (x y micro-second), 16, 29, 1163
Result (x y micro-second), 47, 7, 1159
Result (x y micro-second), 7, 16, 1230
Result (x y micro-second), 64, 29, 1017
Result (x y micro-second), 13, 5, 1192
Result (x y micro-second), 16, 23, 1154
Result (x y micro-second), 47, 5, 1147
Result (x y micro-second), 5, 32, 1268
Result (x y micro-second), 5, 16, 1287
Result (x y micro-second), 29, 5, 1149
Result (x y micro-second), 23, 5, 1149
Result (x y micro-second), 11, 23, 1197
Result (x y micro-second), 32, 1, 1281
Result (x y micro-second), 29, 16, 1161
Result (x y micro-second), 5, 32, 1263
Result (x y micro-second), 1, 23, 2063
Result (x y micro-second), 13, 47, 1188
Result (x y micro-second), 29, 23, 1185
Result (x y micro-second), 11, 23, 1201
Result (x y micro-second), 1, 29, 2048
Result (x y micro-second), 16, 11, 1144
Result (x y micro-second), 1, 5, 2870
Result (x y micro-second), 7, 1, 2038
Result (x y micro-second), 29, 7, 1146
Result (x y micro-second), 16, 13, 1144
Result (x y micro-second), 5, 47, 1285
Result (x y micro-second), 16, 16, 1158
Result (x y micro-second), 11, 1, 1682
Result (x y micro-second), 11, 64, 1278
Result (x y micro-second), 11, 13, 1194
Result (x y micro-second), 29, 11, 1145
Result (x y micro-second), 1, 47, 2239
Result (x y micro-second), 5, 29, 1275
Result (x y micro-second), 13, 7, 1234
Result (x y micro-second), 1, 11, 2225
Result (x y micro-second), 32, 11, 1142
Result (x y micro-second), 13, 23, 1198
Result (x y micro-second), 16, 29, 1171
Result (x y micro-second), 23, 5, 1144
Result (x y micro-second), 29, 64, 1021
Result (x y micro-second), 11, 32, 1210
Result (x y micro-second), 32, 23, 1183
Result (x y micro-second), 7, 1, 2119
Result (x y micro-second), 29, 16, 1184
Result (x y micro-second), 1, 64, 1941
Result (x y micro-second), 32, 16, 1145
Result (x y micro-second), 11, 32, 1208
Result (x y micro-second), 13, 7, 1179
Result (x y micro-second), 7, 23, 1237
Result (x y micro-second), 11, 1, 1672
Result (x y micro-second), 47, 1, 1207
Result (x y micro-second), 11, 5, 1215
Result (x y micro-second), 23, 32, 1212
Result (x y micro-second), 32, 1, 1277
Result (x y micro-second), 32, 13, 1158
Result (x y micro-second), 64, 47, 1012
Result (x y micro-second), 64, 16, 1147
Result (x y micro-second), 16, 7, 1140
Result (x y micro-second), 13, 5, 1198
Result (x y micro-second), 16, 13, 1153
Result (x y micro-second), 1, 7, 2539
Result (x y micro-second), 47, 5, 1132
Result (x y micro-second), 32, 1, 1284
Result (x y micro-second), 13, 32, 1235
Result (x y micro-second), 29, 29, 1207
Result (x y micro-second), 32, 11, 1143
Result (x y micro-second), 16, 5, 1161
Result (x y micro-second), 13, 47, 1198
Result (x y micro-second), 29, 5, 1149
Result (x y micro-second), 47, 7, 1165
Result (x y micro-second), 11, 23, 1188
Result (x y micro-second), 5, 11, 1307
Result (x y micro-second), 64, 23, 996
Result (x y micro-second), 11, 11, 1187
Result (x y micro-second), 16, 23, 1171
Result (x y micro-second), 16, 16, 1146
Result (x y micro-second), 29, 5, 1155
Result (x y micro-second), 29, 13, 1153
Result (x y micro-second), 7, 47, 1262
Result (x y micro-second), 1, 47, 2240
Result (x y micro-second), 11, 32, 1208
Result (x y micro-second), 5, 32, 1267
Result (x y micro-second), 29, 23, 1171
Result (x y micro-second), 13, 7, 1170
Result (x y micro-second), 16, 5, 1162
Result (x y micro-second), 13, 29, 1195
Result (x y micro-second), 29, 11, 1161
Result (x y micro-second), 32, 13, 1146
Result (x y micro-second), 29, 47, 1007
Result (x y micro-second), 29, 5, 1139
Result (x y micro-second), 13, 5, 1195
Result (x y micro-second), 29, 1, 1293
Result (x y micro-second), 11, 5, 1203
Result (x y micro-second), 11, 16, 1202
Result (x y micro-second), 32, 11, 1137
Result (x y micro-second), 5, 1, 2450
Result (x y micro-second), 47, 7, 1151
Result (x y micro-second), 23, 13, 1159
Result (x y micro-second), 23, 64, 1011
Result (x y micro-second), 23, 64, 1018
Result (x y micro-second), 1, 32, 2029
Result (x y micro-second), 23, 23, 1192
Result (x y micro-second), 5, 5, 1426
Result (x y micro-second), 64, 23, 1013
Result (x y micro-second), 64, 16, 1151
Result (x y micro-second), 32, 11, 1144
Result (x y micro-second), 23, 7, 1159
Result (x y micro-second), 7, 29, 1244
Result (x y micro-second), 11, 11, 1199
Result (x y micro-second), 64, 47, 1007
Result (x y micro-second), 13, 1, 1593
Result (x y micro-second), 29, 7, 1147
Result (x y micro-second), 5, 7, 1428
Result (x y micro-second), 13, 16, 1197
Result (x y micro-second), 64, 64, 1015
Result (x y micro-second), 13, 47, 1200
Result (x y micro-second), 23, 32, 1225
Result (x y micro-second), 13, 16, 1182
Result (x y micro-second), 47, 5, 1145
Result (x y micro-second), 1, 23, 2067
Result (x y micro-second), 23, 32, 1224
Result (x y micro-second), 32, 1, 1280
Result (x y micro-second), 64, 64, 998
Result (x y micro-second), 29, 1, 1302
Result (x y micro-second), 1, 29, 2044
Result (x y micro-second), 29, 13, 1155
Result (x y micro-second), 16, 11, 1153
Result (x y micro-second), 13, 23, 1193
Result (x y micro-second), 16, 47, 1219
Result (x y micro-second), 5, 11, 1291
Result (x y micro-second), 23, 11, 1155
Result (x y micro-second), 5, 5, 1430
Result (x y micro-second), 5, 16, 1314
Result (x y micro-second), 23, 32, 1302
Result (x y micro-second), 13, 16, 1189
Result (x y micro-second), 13, 1, 1589
Result (x y micro-second), 7, 5, 1355
Result (x y micro-second), 47, 1, 1218
Result (x y micro-second), 47, 16, 1195
Result (x y micro-second), 47, 47, 1014
Result (x y micro-second), 64, 23, 1014
Result (x y micro-second), 7, 16, 1217
Result (x y micro-second), 47, 23, 1013
Result (x y micro-second), 1, 7, 2530
Result (x y micro-second), 7, 64, 1228
Result (x y micro-second), 16, 47, 1203
Result (x y micro-second), 11, 23, 1191
Result (x y micro-second), 32, 7, 1127
Result (x y micro-second), 47, 7, 1166
Result (x y micro-second), 64, 7, 1150
Result (x y micro-second), 29, 11, 1152
Result (x y micro-second), 1, 29, 2046
Result (x y micro-second), 7, 47, 1238
Result (x y micro-second), 29, 1, 1305
Result (x y micro-second), 13, 13, 1182
Result (x y micro-second), 47, 5, 1140
Result (x y micro-second), 64, 1, 1172
Result (x y micro-second), 23, 32, 1219
Result (x y micro-second), 16, 16, 1149
Result (x y micro-second), 64, 16, 1150
Result (x y micro-second), 13, 13, 1178
Result (x y micro-second), 5, 16, 1290
Result (x y micro-second), 32, 64, 1008
Result (x y micro-second), 29, 23, 1168
Result (x y micro-second), 64, 16, 1143
Result (x y micro-second), 47, 23, 1017
Result (x y micro-second), 32, 47, 1012
Result (x y micro-second), 1, 47, 2242
Result (x y micro-second), 23, 32, 1233
Result (x y micro-second), 47, 32, 1010
Result (x y micro-second), 64, 32, 1014
Result (x y micro-second), 47, 47, 1015
Result (x y micro-second), 23, 16, 1168
Result (x y micro-second), 23, 47, 1015
Result (x y micro-second), 64, 13, 1175
Result (x y micro-second), 13, 5, 1195
Result (x y micro-second), 23, 11, 1158
Result (x y micro-second), 16, 7, 1138
Result (x y micro-second), 7, 5, 1368
Result (x y micro-second), 32, 64, 1005
Result (x y micro-second), 13, 13, 1184
Result (x y micro-second), 16, 7, 1144
Result (x y micro-second), 5, 23, 1268
Result (x y micro-second), 47, 29, 1018
Result (x y micro-second), 5, 29, 1277
Result (x y micro-second), 13, 1, 1589
Result (x y micro-second), 7, 7, 1251
Result (x y micro-second), 29, 47, 1017
Result (x y micro-second), 16, 1, 1481
Result (x y micro-second), 16, 7, 1143
